userName,score,content,final_review,cleaned_review,labeling 
Tio Tanio,1,login nya susah banget,login nya susah banget,login susah banget,
Khalisha Luthfia Rahman Nasution,1,saya buka netflix masi aman banget namun ketika saya ingin menonton dia loading terus padahal paket data saya kencang,buka netflix mas aman banget tonton loading paket data kencang,buka mas aman banget tonton loading paket data kencang,
Rei,3,aku udah login dan udah bayar juga tapi ga bisa masuk ke akun nya harus daftar ulang dan uang aku hilang gitu aja jujur kecewa sih sama Netflix aku kira ini apk yang bagus ternyata aku salah Netflix ku udah aku uninstall dan ya uang aku hilang padahal aku belum nonton sama sekali jujur kecewa banget,udah login udah bayar masuk akun nya daftar ulang uang hilang gitu jujur kecewa sih netflix apk bagus salah netflix udah uninstall uang hilang nonton jujur kecewa banget,login bayar masuk akun daftar ulang uang hilang gitu jujur kecewa sih bagus salah uninstall uang hilang nonton jujur kecewa banget,
asoe asoe,1,nonton di hp harus make data. ga bisa make wifi. di download bisa. ketika di putar ga bisa . harga berlangganan mahal tetapi ga sudai dengan aplikasi yg bobrok,nonton make data make wifi download putar harga langgan mahal suda aplikasi bobrok,nonton make data make wifi download putar harga langgan mahal suda bobrok,
Darwis Dqueen72,4,halo dengan saya pengguna netflix ini ad masalah di sambungan di tv ko gangguan padahal sudah langganan . tolong di perbarui .,halo guna netflix sambung ganggu langgan tolong baru,halo sambung ganggu langgan tolong,
Kartika Sari,1,filmnya sikit kali.,film sikit kali,film sikit kali,
Muhamad Khairurizal,5,sangat baguss sekali 🔥🔥🔥,bagus,bagus,positif
Nur Sa'adah,2,Sering banget ke log out otomatis sewaktu digunakan. Mau log in kembali error.,banget log out otomatis log error,banget log out otomatis log error,
Bibik Bik,5,aku suka bgtt karna ada KPop demon Hunter jadi walaupun gak banyak tapi gpp 😀,suka bgtt karna kpop demon hunter gpp,suka bgtt karna kpop demon hunter gpp,positif
abi ummy,4,lumayan utk di tonton klo BS ada tv online juga supaya bintang nya full,lumayan utk tonton online bintang nya full,lumayan utk tonton online bintang full,
Ghifa Ghifi,1,"apa ini,kok gak bisa bisa login padahal sudah buat akun,malah gak ke detek,gimana ni developer buat yang ngotak lah,apl gak bisa digunakan kenapa di promosikan,dasarrr developerrrr!!!!!!!!!",login akun detek gimana developer ngotak apl promosi dasar developer,login akun detek gimana developer ngotak apl promosi dasar developer,
Gilang Rahadian Permana,1,"kualitas gambar ga bisa di atur langsung kaya dulu, penurunan kah?",kualitas gambar atur langsung kaya turun kah,kualitas gambar atur langsung kaya turun kah,
Zahrul Setiyawan,1,Kebanyakan nyuruh gw bayar asuw baru juga downlod🙄,banyak nyuruh bayar asuw downlod,nyuruh bayar asuw downlod,
Mitha dwi.p.j,1,kenapa ga bisa login sih ini!,login sih,login sih,netral
Andre Prasetyo,1,bad,bad,bad,
Sandy Hasjamuttar,1,aplikasi ampas,aplikasi ampas,ampas,
Nazriel R. A.,1,"Saya mencoba melakukan pembayaran untuk mengecek e-wallet yang digunakan. Setelah itu, ternyata yang digunakan shopee pay dan saldonya kurang dari 50rb otomatis gagal. Selang beberapa bulan saya isi saldo 500rb dan ada notif kalo pembayarannya gagal, tapi setelah saya menggunakan saldonya 400rb, saldo saya di potong sekitar 54rb untuk berlangganan, padahal pembayaran sudah gagal kenapa masih terpotongg?????",coba bayar ecek wallet shopee pay saldo otomatis gagal selang isi saldo notif kalo bayar gagal saldo saldo potong langgan bayar gagal terpotongg,coba bayar ecek wallet shopee pay saldo otomatis gagal selang isi saldo notif kalo bayar gagal saldo saldo potong langgan bayar gagal terpotongg,
Dyllaa,1,JELEK,jelek,jelek,
ULpann SRT,1,loading Mulu sialan,loading mulu sial,loading mulu sial,
Rara Jungkies,5,okey,okey,oke,positif
Horas Andi Lao Aritonang,1,"aplikasi apaan nih. gk bisa login , gw blom punya udah si suruh login tapi gk , bikin akunnya juga ribet 🗿😒",aplikasi login blom udah suruh login akun ribet,login blom suruh login akun ribet,
Alfaris Ramadhan,5,Mudah,mudah,mudah,positif
Feby Dwi ayu,5,"seru banget nonton disiniiii, ak kasi bintang 5 deh buat netflix, banya banget movie horor yang aku sukaaaa",seru banget nonton kasi bintang deh netflix banya banget movie horor suka,seru banget nonton kasi bintang banya banget movie horor suka,positif
almiraaurelia0911,1,"udan masukin nomor WA gak bisa WA HP ku satunya lagi juga gak bisa, email udah ku masukin email 4x gak bisa masuk",udan masukin nomor satu email udah masukin email masuk,udan masukin nomor email masukin email masuk,
OTP_Candra wulandari,3,kenapa tidak bisa berjalan netflix nya? saya gabisa nntn karena terus memuat. padahal internet nya lancar banget,jalan netflix nya gabisa nntn muat internet nya lancar banget,jalan gabisa nntn muat internet lancar banget,
Aku Aku,3,Aku masih bingung cara buka aplikasi nya keluar sendiri kebanyakan keluar sendiri,bingung buka aplikasi nya banyak,bingung buka,
Azka Emun,5,driver,driver,driver,
Ananias_ Aje,1,"buruk, tidak bermanfaat, penyedot kuota internet, sumber virus",buruk manfaat sedot kuota internet sumber virus,buruk manfaat sedot kuota internet sumber virus,
Pengguna Google,2,gak bisa login,login,login,
leonardo Nahampun,2,penuh dengan film korea dan film serial... filmnya juga tidak ganti ganti...itu terus bertengger.,penuh film korea film serial film ganti ganti tengger,penuh film korea film serial film ganti ganti tengger,
oji rojiki,1,"bug makin parah, lagi nonton keluar sendiri, begitu terus ampe kesel",bug parah nonton ampe kesel,bug parah nonton ampe kesel,
Nur Sabrina Elvhira,5,bagus jir🤭,bagus jir,bagus jir,positif
Farel Eko.C,5,jangan donwload bre gk recomend login susah kek musang aplikasi tidak bermutu film gk lengkap hapus aja dari playstore.admin dongok,donwload bre recomend login susah kek musang aplikasi mutu film lengkap hapus playstore admin dongok,donwload bre recomend login susah kek musang mutu film lengkap hapus playstore admin dongok,
Ans 0703,1,apalah baru daftar doang udah langsung disuruh premium. blom juga masuk ke menu aplikasi. sangat bintang 1,apa daftar doang udah langsung suruh premium blom masuk menu aplikasi bintang,daftar doang langsung suruh premium blom masuk menu bintang,
Herman Daniel Gomes De Carvalho,5,bagus sekali saya suka,bagus suka,bagus suka,positif
Karimah ayu Wulandari,1,"mau daftar masuk email udah bener tapi katanya email salah ku cek berulang² kali tetep salah, aku ganti nomor telepon udah bener tetep salah",daftar masuk email udah bener email salah cek ulang kali tetep salah ganti nomor telepon udah bener tetep salah,daftar masuk email bener email salah cek ulang kali tetep salah ganti nomor telepon bener tetep salah,
Andre Sucahyono,5,iyesss,iyes,iyes,
Fie Hera,1,RUGIII... BERLANGGANAN CUMA 3 MINGGU NGGA GENAP SEBULAN.. SERING ERROR JUGA,rugi langgan minggu ngga genap bulan error,rugi langgan minggu genap error,
Rani Kia,3,"apaan sih netflix belum 1bulan udh abis gak bisa nonton lg, heran deh",sih netflix abis nonton heran deh,sih abis nonton heran,
Jasuke Enha,1,"My account has run into a problem, and why does customer service make things so difficult for users? They always give template responses and don’t actually help at all. 💩💩💩💩💩",account has run into problem and why does customer service make things difficult for users they always give template responses and don actually help all,account has run into problem and why does customer service make things difficult for users they always give template responses and don actually help all,
Lili Lili,1,Saat saya ingin login ke akun saya malah keluar udah 5 kali jadi bintang ⭐ satu dah makasih,login akun udah kali bintang dah makasih,login akun kali bintang dah terima kasih,
rangga barata,1,bikin akun aja susah,akun susah,akun susah,
Steven Valianto,5,"Mantap, walau sering mendadak ada label leaving soon di film drama animenya",mantap dadak label leaving soon film drama animenya,mantap dadak label leaving soon film drama animenya,
Valianto Dharma saputra,5,"keren banget, walau udah banyak film drama anime yang mendadak hilang",keren banget udah film drama anime dadak hilang,keren banget film drama anime dadak hilang,positif
Sanss Brooo,1,parah banget saldo dana ku tiba tiba kepotong tanpa notif,parah banget saldo dana potong notif,parah banget saldo dana potong notif,
Asraf Satrio,1,terlalu banyak penipuan,tipu,tipu,
Muha 7,2,"ga bisa dibuka, ga ada trial free.",buka trial free,buka trial free,
Rijal Ahyar,1,"bayar mahal"" cmn kebanyakan semua film"" lama tdk ad film"" baru. sangat tdk rekomendasi, sebaiknya update",bayar mahal cmn banyak film tdk film tdk rekomendasi update,bayar mahal cmn film film rekomendasi update,
Muhammad Rahman,5,sudah langganan Ribet setting akunya,langgan ribet setting aku,langgan ribet setting,
Taufik Dwi,1,belum pernah downoload tapi kayaknya 😜👈 MIKIR KIDS !!!,downoload kayak mikir kids,downoload kayak mikir kids,
Aditya Ruman,3,"langganan buat nonton film, eh film yang mau di tonton ga ada✋😹🤚",langgan nonton film film tonton,langgan nonton film film tonton,
Chelsea Eugenia,5,saya suka aplikasi ini karena filmnya asli walaupun harus berbayar tapi saya tetap suka nonton di netflix,suka aplikasi film asli bayar suka nonton netflix,suka film asli bayar suka nonton,
F N,4,kenapa ya netflix saya memutar terus,netflix putar,putar,netral
Reza Lazuardi,1,gak bebas nonton banyak aturan,bebas nonton atur,bebas nonton atur,netral
nanda aisyah,1,lihat film selalu loading.,lihat film loading,lihat film loading,
L Kids,4,min gimana? gabisa nonton anjir,min gimana gabisa nonton anjir,min gimana gabisa nonton,
Naufal Abiyu,2,"coba putar videonya, ada suaranya tapi gambarnya gak ada cuma hitam aja",coba putar video suara gambar hitam,coba putar video suara gambar hitam,
Jajat Movic,1,Sangat buruk,buruk,buruk,
Umar Bakri,1,"gk jelas bgt, sya mau pogin mengunakan sandi dan itu udh benar, malah pake kode masuk. sya perbaiki bintang nya stlah masuknya dipermudah",banget sya pogin mengunakan sandi pake kode masuk sya baik bintang nya stlah masuk mudah,banget sya pogin mengunakan sandi pake kode masuk sya bintang stlah masuk mudah,
Intan Ayu,1,"ga bisa nonton semua acara netflix tiba tiba, udh di uninstall udh hapus data sm change ttep ajh ga bisa. pdhl kuota full jaringan aman. kecewa banget sm apk ini. pdhl posisi lg nonton film komang",nonton acara netflix uninstall hapus data change ttep ajh pdhl kuota full jaring aman kecewa banget apk pdhl posisi nonton film komang,nonton acara uninstall hapus data change ttep ajh kuota full jaring aman kecewa banget posisi nonton film komang,
RS TV73,3,saya Rizky dari Indonesia tolong bahasa Indonesia di adakan di setiap filem jangan bahasa negara seperti tailan ada Pati bahasa Indonesia ga ada ..... bukan cuma translate tapi bahasanya tolong di buat bahan Indonesia,rizky indonesia tolong bahasa indonesia adakan filem bahasa negara tailan pati bahasa indonesia translate bahasa tolong bahan indonesia,rizky indonesia tolong bahasa indonesia adakan filem bahasa negara tailan pati bahasa indonesia translate bahasa tolong bahan indonesia,
Moba Legen,1,udah berhenti langganan masih aja motong saldo anj banget netflix b2,udah henti langgan motong saldo anj banget netflix,henti langgan motong saldo banget,
Hardi Insta,4,"sinyal bagus , buka aplikasi streaming lain lancar tapi giliran bukan aplikasi ini malah ga bisa",sinyal bagus buka aplikasi streaming lancar gilir aplikasi,sinyal bagus buka streaming lancar gilir,
Rusdan Abdul wahab,1,ini kenapa udah bayar ga bisa login ?,udah bayar login,bayar login,
Josua yoel,1,sungguh mengecewakan,sungguh kecewa,sungguh kecewa,
Jhacka Boyss,1,"aplikasi ribet, login aja susah bikin pusing",aplikasi ribet login susah pusing,ribet login susah pusing,
Dzaky Shankara,5,bagus banget,bagus banget,bagus banget,
Fauzan Zakaria,1,apk gjls udah dibayar tapi ga mau ke play filmnya padahal coba di apk sebelh malah lancar hadehh rusak rusak,apk gjls udah bayar play film coba apk sebelh lancar hadehh rusak rusak,gjls bayar play film coba sebelh lancar hadehh rusak rusak,
tauhid tauhid,1,sinyal full kok gak bisa nonton,sinyal full nonton,sinyal full nonton,
Akbar legendary,1,hey bagaimana cara login padahal saya sudah memasukkan alamat email yang benar tapi tidak valid tolongggggggg😭😭😭😭,hey login masuk alamat email valid tolong,hey login masuk alamat email valid tolong,
Dwimaya Sari,5,terima kasih ya telah membuat game ini kayak aku suka game ini cuman gaya bisa main GTA San Andreas definitive edition game ini bagus sangat terima kasih saya aku senang,terima kasih game kayak suka game cuman gaya main gta san andreas definitive edition game bagus terima kasih senang,terima kasih game kayak suka game cuman gaya main gta san andreas definitive edition game bagus terima kasih senang,
Ilham Miftahurizki,1,celeng celeng ndaftar ae ribett,celeng celeng ndaftar ribett,celeng celeng ndaftar ribett,
marda suli,5,🥺🙏🏻tolong mohon update Netflix gratis..! gak perlu paket saldo dan gak perlu tambahan biaya... dan bayar terus..,tolong mohon update netflix gratis paket saldo tambah biaya bayar,tolong mohon update gratis paket saldo biaya bayar,
Tegar Kusumaputra,1,APLIKASI GANGGUAN TERUSS,aplikasi ganggu teruss,ganggu teruss,
Renebaee,3,film tidak bisa diputar,film putar,film putar,
Subrata Erlang,1,"saya sudah memasukan sandi yang benar,tapi masih salah dan gak bisa masuk.",pasu sandi salah masuk,pasu sandi salah masuk,
Makarov,4,sukses,sukses,sukses,
Budi Haryanto,5,Filmnya bagus bagus...,film bagus bagus,film bagus bagus,
Ferdy Silvera_666,3,Aplikasi For Watching Film2 Kerrreennn Terbaik No. 1 Di Dunia .!! 👌💯😎 But Why Sejak Awal Juni 2025 Film2 HORROR Baru Yang Tayang Kualitas'nya Jelek2 Semua .!!?? Please Tambahkan Segera Film2 HORROR INDONESIA TERBARU Seperti => LABINAK ( 2025 ) + QODRAT 2 ( 2025 ) + JANUR IRENG ( 2025 ) + PENJAGAL IBLIS ( 2025 ) + JALAN PULANG ( 2025 ) + PEMBANTAIAN DUKUN SANTET ( 2025 ) + DENDAM MALAM KELAM ( 2025 ) + PENGEPUNGAN DI BUKIT DURI + GUNDIK ( 2025 ) + MUSLIHAT ( 2025 ) & PAMALI - TUMBAL 🤘🥁😎,aplikasi for watching film kereen baik dunia but why juni film horror tayang kualitas nya jelek please tambah film horror indonesia baru labinak qodrat janur ireng jagal iblis jalan pulang bantai dukun santet dendam malam kelam kepung bukit duri gundik muslihat pamali tumbal,for watching film kereen dunia but why juni film horror tayang kualitas jelek please film horror indonesia labinak qodrat janur ireng jagal iblis jalan pulang bantai dukun santet dendam malam kelam kepung bukit duri gundik muslihat pamali tumbal,
rini mulyasari,4,kok film2 yg didonlot tdk ada bahasa indonesianya lgi... tpi kl nonton langsung ada.. ini gmn ya?? abiz upgrade loh,film didonlot tdk bahasa indonesia lgi nonton langsung gmn abiz upgrade loh,film didonlot bahasa indonesia lgi nonton langsung gmn abiz upgrade loh,
Chisikuin Ita,1,"baru tau kalau netflix filmnya ga lengkap.. tujuan awal daftar paket netflix biar bisa n9nton yg gbsa di tonton secara gratis.. eh malah yg ada di gratis ga muncul di netflix. Jelek, ga rekomended, film dikit, saran yg mau berlanggan mending gausah, nyesel krn gabakal nemu film yg lu mau",tau netflix film lengkap tuju daftar paket netflix biar nnton gbsa tonton gratis gratis muncul netflix jelek rekomended film dikit saran langgan mending gausah nyesel krn gabakal nemu film,tau film lengkap tuju daftar paket biar nnton gbsa tonton gratis gratis muncul jelek rekomended film dikit saran langgan mending gausah nyesel gabakal nemu film,
Juan Damongilala,1,subtitle nya kok ngk ada sihh,subtitle nya ngk sihh,subtitle ngk sihh,
Budi Astuti,4,Aw234s awal 2 w22w we see Aw WW2 www3 we can w a w2 we see,aws see can see,aws see can see,
charina 21,1,"netflix nya kok setelah di download subtitle bahasa indonesia nya gk muncul ya, harus ntn streaming, pdhal sebelumnya bisa",netflix nya download subtitle bahasa indonesia nya muncul ntn streaming pdhal,download subtitle bahasa indonesia muncul ntn streaming pdhal,
Fahri,1,gjls bet stuck loading video trus padahal jaringan lancar,gjls bet stuck loading video trus jaring lancar,gjls bet stuck loading video jaring lancar,
Umar Habibi,3,"saya punya saran,untuk server Mesir atau dimanapun tolong di masukkan film Indonesia nya dong,saya pengen nonton ""norma"" tapi di Netflix Mesir gaada plis masukin 🙏",saran server mesir mana tolong masuk film indonesia nya ken nonton norma netflix mesir gaada plis masukin,saran server mesir tolong masuk film indonesia ken nonton norma mesir gaada plis masukin,
Hanz Branz,1,apk sampah masak mau login atau daftar aja harus bayar apaan ameh banget. kocak,apk sampah masak login daftar bayar ameh banget kocak,sampah masak login daftar bayar ameh banget kocak,
Abdul Rifki,4,"saran, untuk film terbaru atau episode lebih baik di tampilkan paling atas, jngan di campur yng udah lama tapi ganti cover iklan",saran film baru episode tampil jngan campur yng udah ganti cover iklan,saran film episode tampil jngan campur yng ganti cover iklan,
azkayRatu,1,"Call center buruk,tdk ramah. saat ada kendala no solution pokoknya. Hati2 ges kalau berlangganan, 1 atau 2 hari kmudian dibatalkan pihak netflix alasan ada aktivitas mencurigakan, murka nya tiap diminta bukti aktivitas yg dimksd itu spt apa mereka gamau ngasih. Jujur bingung aktivitas apa pdhl gw cuman nonton doang. berlangganan jg sesuai prosedur trs dmn letak aktivitas itu? alhasil dana yg udah masuk gbs kembali ges alias hangus. Pdhl aplikasinya bagus bgt tp sgt tdk profesional. sangat kecewa",call center buruk tdk ramah kendala solution pokok hati ges langgan kmudian batal netflix alas aktivitas curiga murka nya bukti aktivitas dimksd spt gamau ngasih jujur bingung aktivitas pdhl cuman nonton doang langgan sesuai prosedur dmn letak aktivitas alhasil dana udah masuk gbs ges alias hangus pdhl aplikasi bagus banget sgt tdk profesional kecewa,call center buruk ramah kendala solution pokok hati ges langgan kmudian batal alas aktivitas curiga murka bukti aktivitas dimksd spt gamau ngasih jujur bingung aktivitas cuman nonton doang langgan sesuai prosedur dmn letak aktivitas alhasil dana masuk gbs ges alias hangus bagus banget sgt profesional kecewa,
TIK TOK APKING,1,uuuuuuuuuu nefflix goblokkkkkk aduuuuu login susahhh daftarr susaaaaahhhh Netflix sakit jiwa mintak jantunggg plissssss banget hapus apk ini DARI GOGEL Playlstoreeee buang buang waktu GK ada guna ni apk 🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬,nefflix goblok adu login susah daftarr susah netflix sakit jiwa mintak jantung plis banget hapus apk gogel playlstore buang buang apk,nefflix goblok adu login susah daftarr susah sakit jiwa mintak jantung plis banget hapus gogel playlstore buang buang,
Mian Mian,5,PESULAP MERAH OFFICIAL GTA SAN ANDREAS 🪄🎩,sulap merah official gta san andreas,sulap merah official gta san andreas,
Kholipah Ratnasari,1,daftarnya ribet udah bayar langganan udh download tp buffering trus gak ada yg bisa di play gmna sih,daftar ribet udah bayar langgan download buffering trus play gmna sih,daftar ribet bayar langgan download buffering play gmna sih,
Baby Panda,2,ini aneh kenapa selalu loading cara mengatasinya itu bagaimana ya??? trims,aneh loading atas trims,aneh loading trims,
Handri Super,1,"aplikasi saya gak bisa buka gua udah bayar, asemmm kau ya, nanti kalau udah bisa buka saya perbaiki ratingnya, kalau gak bisa buka saya tetap kasih bintang 1, awas hati² apk penipuan.",aplikasi buka gua udah bayar asem kau udah buka baik ratingnya buka kasih bintang awas hati apk tipu,buka bayar asem kau buka ratingnya buka kasih bintang awas hati tipu,
anak haram,1,gw mending nonton steel ball run di website bajakan daripada di Netflix,mending nonton steel ball run website baja netflix,mending nonton steel ball run website baja,
Sri Yana,5,film nya bagus banget,film nya bagus banget,film bagus banget,
Dedy prasetyo,1,"daftar paket premium 1 bulan, eh taunya bisa nonton cuma 10 hari doang. mana bayarnya 65rb, padahal tagihan di tanggal 21 oktober lah ini malah akun di tangguhkan.",daftar paket premium tau nonton doang bayar tagih tanggal oktober akun tangguh,daftar paket premium tau nonton doang bayar tagih tanggal oktober akun tangguh,
Ancha Chaidir,5,mantapppp,mantap,mantap,
Ilah ilah. nurlailah,5,BAGUSS BGT gatau poko nya bintang 5,bagus banget gatau poko nya bintang,bagus banget gatau poko bintang,
Ghina Azhar,3,kenapa setelah di update beberapa subtitle di film/ drama yang di download tidak muncul ya? biasanya tidak pernah terjadi subtitle hilang-hilangan. saya jadi bingung harus download ulang atau re-install aplikasi. tolong bantuannya di perbaiki.,update subtitle film drama download muncul subtitle hilang hilang bingung download ulang install aplikasi tolong bantu baik,update subtitle film drama download muncul subtitle hilang hilang bingung download ulang install tolong bantu,
Vega Grace,2,"mohon pihak netflix untuk membaca ulasan kami para costumer, disini saya juga ingin menyampaikan bahwa sudah hampir sekitar 1 bulan belakangan ini pada saat ingin nonton tidak bisa di putar, sekali bisa diputar gambarnya malah pecah seperti nonton dengan resolusi jaman bahula 360. padahal jaringan di rumah saya tidak ada masalah krna di apk lain saya nonton jernih dan lancar. tolong pihak netflix memperhatikan kepuasan para costumernya.",mohon netflix baca ulas costumer nonton putar putar gambar pecah nonton resolusi jaman bahula jaring rumah krna apk nonton jernih lancar tolong netflix perhati puas costumernya,mohon baca ulas costumer nonton putar putar gambar pecah nonton resolusi jaman bahula jaring rumah krna nonton jernih lancar tolong perhati puas costumernya,
Tuan Muda,1,"aplikasi paling parah ini padahal koneksi aman, muter-muter doang pas di play, nyesel premium, pantesan rating anjlok",aplikasi parah koneksi aman muter muter doang pas play nyesel premium pantesan rating anjlok,parah koneksi aman muter muter doang pas play nyesel premium pantesan rating anjlok,
Agus Salim,1,susah sekali untuk masuk,susah masuk,susah masuk,
Aisya Hanindya,5,bagus,bagus,bagus,
StarGaming,1,apk kaga jelas,apk kaga,kaga,
Miftahul Jannah Mamonto,4,"Hallo Netflix, sya akan ksh 5 bintang setelah bug slesai. saya menunggu lama sampai film bsa di putar tapi tidak terputar. ini tdk pernah terjadi sebelumnya",hallo netflix sya ksh bintang bug slesai tunggu film bsa putar putar tdk,hallo sya ksh bintang bug slesai tunggu film bsa putar putar,
Febryanti Sianipar,1,gajelasssss ga bisa dibuka😬,gajelas buka,gajelas buka,
Adit Prasetyo,2,"bang ini kenapa tiba""akunya keluar padahal batas waktunya belum abis bulanannya kecewa banget ga bisa masuk akun nya padahal belum waktunya abis gimana ini tolong perbaiki",bang aku batas abis bulan kecewa banget masuk akun nya abis gimana tolong baik,bang batas abis kecewa banget masuk akun abis gimana tolong,
Azhimi Surya,1,ini kenapa selalu memuat setiap film nya di putar padahal kouta banyak heran deh,muat film nya putar kouta heran deh,muat film putar kouta heran,
Rafael Miru,1,saat menonton selalu terganggu dengan wifi padahal wifi jaringannya bagus,tonton ganggu wifi wifi jaring bagus,tonton ganggu wifi wifi jaring bagus,
Agusnia Rachmi,2,"gaa bisa masuk akun, udah ngulang ngulang tetap ga bisa",gaa masuk akun udah ngulang ngulang,gaa masuk akun ngulang ngulang,
Gabriel Arifi,1,bosok,bosok,bosok,
Zihan Wari Nurul Fadilah (jiaa),1,apa-apaan ini sih! pas mau buat akun nya susah banget dari tadi! tolong ya kalo bisa di permukaan pas masuk apk nya! ya kalo gini gimana mau kasih Reting gede kalo masuk apknya susah banget kaya gini! INGETTT!! PERBAIKII! WOYYY😡🤬,sih pas akun nya susah banget tolong kalo muka pas masuk apk nya kalo gin gimana kasih reting gede kalo masuk apknya susah banget kaya gin inget perbaikii woy,sih pas akun susah banget tolong kalo muka pas masuk kalo gin gimana kasih reting gede kalo masuk apknya susah banget kaya gin inget perbaikii woy,
454 Fabian,1,gajelas terjadi kesalahan saat mutar video mulu mending HBO Max,gajelas salah mutar video mulu mending hbo max,gajelas salah mutar video mulu mending hbo max,
DIEP A,1,main ngundur undurin jadwal rilis dadakan lu kira kita kita ini bisa beli paket Netflix lagi apa dipikir lah t0l t0l kita beli tanggal brp mau nntn film apa malah tiba tiba diundur k0cak kocak fakyu,main ngundur undurin jadwal rilis dada beli paket netflix pikir beli tanggal brp nntn film undur kcak kocak fakyu,main ngundur undurin jadwal rilis dada beli paket pikir beli tanggal brp nntn film undur kcak kocak fakyu,
Andri Firmansyah,1,jaringannya bagus buat buka yang Laen pas buka pengen nonton ga bisa bisa muter doang,jaring bagus buka laen pas buka ken nonton muter doang,jaring bagus buka laen pas buka ken nonton muter doang,
Octavia 26,1,"mau daftar akun aja susah, kalau ada masalah di apknya tolong dikasih tau lah, bikin kesel aja",daftar akun susah apknya tolong kasih tau kesel,daftar akun susah apknya tolong kasih tau kesel,
uceN ji,2,ini kenapa si kalo jeda nonton. trus mau D lanjutin memuat mulu anj.. keluar masuk aplikasi jadi sama aja,kalo jeda nonton trus lanjutin muat mulu anj masuk aplikasi,kalo jeda nonton lanjutin muat mulu masuk,
Sherina Jltn,3,aplikasi berbayar tp film tidak lengkap,aplikasi bayar film lengkap,bayar film lengkap,
Ardin Buduha,1,baru kali in ad aplikasi yg minta kata sandi email,kali aplikasi sandi email,kali sandi email,
Amel Imel,5,Sang at membantu,sang bantu,sang bantu,
Awing Suwardi,5,ok,oke,oke,
Yanuar Setiawan,1,Daftarnya Ribettttt,daftar ribet,daftar ribet,
Dony Kurniawan R,1,saldo kluar 186.000 padahal instal aja nggak apalah,saldo kluar instal apa,saldo kluar instal,
Vishaka Orlenta,1,"SIGN IN ATAU BIKIN AKUN AJA GK BISA YA ALLAH, NAUZUBILLAH AJA NIH APK, SOMETHING WENT WRONG TERUS BABI, BIKIN APK AJA KAGAK GUNA",sign akun allah nauzubillah apk something went wrong babi apk kagak,sign akun allah nauzubillah something went wrong babi kagak,
Doa Restu,1,maaf ini bikin akun ajah ko bayarr,maaf akun ajah bayarr,maaf akun ajah bayarr,
Aliph Man,1,"aplikasi apaan ini,masuk di indo tp gak bisa pake kartu indo,mana gak update sama kyak netflix luar",aplikasi masuk indo pake kartu indo update kyak netflix,masuk indo pake kartu indo update kyak,
zasa emeralda,3,ga jelas banget. udah 7 bln ga langganan netflix tiba2 ad transaksi langganan otomatis pdhl semua udh di nonaktifkan. mana paketnya beda lagi lebih mahal yg tadinya ga pernah langanan paket itu. terpaksa donlot lagi dan hapus langanan. nyusahin,banget udah bln langgan netflix transaksi langgan otomatis pdhl nonaktif paket beda mahal langanan paket paksa donlot hapus langanan nyusahin,banget bln langgan transaksi langgan otomatis nonaktif paket beda mahal langanan paket paksa donlot hapus langanan nyusahin,
Yosi Nanda,1,apk burikkk gbs login nyett,apk burik gbs login nyett,burik gbs login nyett,
Zahra Kisaran,1,se enak hati ngambil dana orang,enak hati ngambil dana orang,enak hati ngambil dana orang,
fuat fadillah,1,loading2 terus ajg,loading ajg,loading ajg,
Pakar Tugas,1,karyawan Netflix gak ada yang becus apa gimana. login dipersulit seperti ini apa mau mematikan bisnis sendiri? tiru batasan jumlah device dan sistem login OTP Disney kalau mau winwin. heran. digaji mahal malah bodoh ini orang2 Netflix. najis hasil kerja kalian ini,karyawan netflix becus gimana login sulit mati bisnis tiru batas device sistem login otp disney winwin heran gaji mahal bodoh orang netflix najis hasil kerja,karyawan becus gimana login sulit mati bisnis tiru batas device sistem login otp disney winwin heran gaji mahal orang najis hasil kerja,
B R E A D,1,"jelek kali koneksi kalau nonton dengan wifinya sekarang, padahal nonton yt dengan wifi aman aja di 1080p",jelek kali koneksi nonton wifinya nonton wifi aman,jelek kali koneksi nonton wifinya nonton wifi aman,
Rahmat Mat,5,baguss,bagus,bagus,
Majalah stannia,5,Simple dan kerem,simple rem,simple rem,
mahfuzh Racing,5,hari ini aku ultah waktu,ultah,ultah,
Soesiati Tiyar,5,Mantap,mantap,mantap,
ZIA ULHAQ,5,ok,oke,oke,
Ristian Cahyani,1,"daftarnya ribet, suka error mulu, suruh bayar padahal cuma gitu doang 🙄🙄",daftar ribet suka error mulu suruh bayar gitu doang,daftar ribet suka error mulu suruh bayar gitu doang,
Syafdio Afdal,1,"APLIKASI APAAN INI , MASAK YA FILM NYA BELUM PADA UPDATE2 , DULUAN LAYARKACA UPDATE DSRI PADA NETFLIX -_- BAD APL",aplikasi masak film nya update duluan layarkaca update dsri netflix bad apl,masak film update duluan layarkaca update dsri bad apl,
Ayu Sukma Candra Dinata,5,RIBETTT!!!!,ribet,ribet,
Rekyy Subagia,1,"terjadi masalah saat memutar video.coba lagi. (5.10) semua film kayak gitu, apaan anj?",putar video coba film kayak gitu anj,putar video coba film kayak gitu,
