userName,score,content,final_review
Jasuke Enha,1,"My account has run into a problem, and why does customer service make things so difficult for users? They always give template responses and don’t actually help at all. 💩💩💩💩💩",account has run into problem and why does customer service make things difficult for users they always give template responses and don actually help all
Lili Lili,1,Saat saya ingin login ke akun saya malah keluar udah 5 kali jadi bintang ⭐ satu dah makasih,login akun udah kali bintang dah makasih
rangga barata,1,bikin akun aja susah,akun susah
Steven Valianto,5,"Mantap, walau sering mendadak ada label leaving soon di film drama animenya",mantap dadak label leaving soon film drama animenya
Valianto Dharma saputra,5,"keren banget, walau udah banyak film drama anime yang mendadak hilang",keren banget udah film drama anime dadak hilang
Sanss Brooo,1,parah banget saldo dana ku tiba tiba kepotong tanpa notif,parah banget saldo dana potong notif
Asraf Satrio,1,terlalu banyak penipuan,tipu
Muha 7,2,"ga bisa dibuka, ga ada trial free.",buka trial free
Rijal Ahyar,1,"bayar mahal"" cmn kebanyakan semua film"" lama tdk ad film"" baru. sangat tdk rekomendasi, sebaiknya update",bayar mahal cmn banyak film tdk film tdk rekomendasi update
Muhammad Rahman,5,sudah langganan Ribet setting akunya,langgan ribet setting aku
Taufik Dwi,1,belum pernah downoload tapi kayaknya 😜👈 MIKIR KIDS !!!,downoload kayak mikir kids
Aditya Ruman,3,"langganan buat nonton film, eh film yang mau di tonton ga ada✋😹🤚",langgan nonton film film tonton
Chelsea Eugenia,5,saya suka aplikasi ini karena filmnya asli walaupun harus berbayar tapi saya tetap suka nonton di netflix,suka aplikasi film asli bayar suka nonton netflix
F N,4,kenapa ya netflix saya memutar terus,netflix putar
Reza Lazuardi,1,gak bebas nonton banyak aturan,bebas nonton atur
nanda aisyah,1,lihat film selalu loading.,lihat film loading
L Kids,4,min gimana? gabisa nonton anjir,min gimana gabisa nonton anjir
Naufal Abiyu,2,"coba putar videonya, ada suaranya tapi gambarnya gak ada cuma hitam aja",coba putar video suara gambar hitam
Jajat Movic,1,Sangat buruk,buruk
Umar Bakri,1,"gk jelas bgt, sya mau pogin mengunakan sandi dan itu udh benar, malah pake kode masuk. sya perbaiki bintang nya stlah masuknya dipermudah",banget sya pogin mengunakan sandi pake kode masuk sya baik bintang nya stlah masuk mudah
Intan Ayu,1,"ga bisa nonton semua acara netflix tiba tiba, udh di uninstall udh hapus data sm change ttep ajh ga bisa. pdhl kuota full jaringan aman. kecewa banget sm apk ini. pdhl posisi lg nonton film komang",nonton acara netflix uninstall hapus data change ttep ajh pdhl kuota full jaring aman kecewa banget apk pdhl posisi nonton film komang
RS TV73,3,saya Rizky dari Indonesia tolong bahasa Indonesia di adakan di setiap filem jangan bahasa negara seperti tailan ada Pati bahasa Indonesia ga ada ..... bukan cuma translate tapi bahasanya tolong di buat bahan Indonesia,rizky indonesia tolong bahasa indonesia adakan filem bahasa negara tailan pati bahasa indonesia translate bahasa tolong bahan indonesia
Moba Legen,1,udah berhenti langganan masih aja motong saldo anj banget netflix b2,udah henti langgan motong saldo anj banget netflix
Fratama Jossy,5,👍👍👍👍👍,
Hardi Insta,4,"sinyal bagus , buka aplikasi streaming lain lancar tapi giliran bukan aplikasi ini malah ga bisa",sinyal bagus buka aplikasi streaming lancar gilir aplikasi
Rusdan Abdul wahab,1,ini kenapa udah bayar ga bisa login ?,udah bayar login
Josua yoel,1,sungguh mengecewakan,sungguh kecewa
Jhacka Boyss,1,"aplikasi ribet, login aja susah bikin pusing",aplikasi ribet login susah pusing
Dzaky Shankara,5,bagus banget,bagus banget
Fauzan Zakaria,1,apk gjls udah dibayar tapi ga mau ke play filmnya padahal coba di apk sebelh malah lancar hadehh rusak rusak,apk gjls udah bayar play film coba apk sebelh lancar hadehh rusak rusak
tauhid tauhid,1,sinyal full kok gak bisa nonton,sinyal full nonton
Akbar legendary,1,hey bagaimana cara login padahal saya sudah memasukkan alamat email yang benar tapi tidak valid tolongggggggg😭😭😭😭,hey login masuk alamat email valid tolong
Dwimaya Sari,5,terima kasih ya telah membuat game ini kayak aku suka game ini cuman gaya bisa main GTA San Andreas definitive edition game ini bagus sangat terima kasih saya aku senang,terima kasih game kayak suka game cuman gaya main gta san andreas definitive edition game bagus terima kasih senang
Ilham Miftahurizki,1,celeng celeng ndaftar ae ribett,celeng celeng ndaftar ribett
marda suli,5,🥺🙏🏻tolong mohon update Netflix gratis..! gak perlu paket saldo dan gak perlu tambahan biaya... dan bayar terus..,tolong mohon update netflix gratis paket saldo tambah biaya bayar
Tegar Kusumaputra,1,APLIKASI GANGGUAN TERUSS,aplikasi ganggu teruss
Renebaee,3,film tidak bisa diputar,film putar
Subrata Erlang,1,"saya sudah memasukan sandi yang benar,tapi masih salah dan gak bisa masuk.",pasu sandi salah masuk
Makarov,4,sukses,sukses
Budi Haryanto,5,Filmnya bagus bagus...,film bagus bagus
Ferdy Silvera_666,3,Aplikasi For Watching Film2 Kerrreennn Terbaik No. 1 Di Dunia .!! 👌💯😎 But Why Sejak Awal Juni 2025 Film2 HORROR Baru Yang Tayang Kualitas'nya Jelek2 Semua .!!?? Please Tambahkan Segera Film2 HORROR INDONESIA TERBARU Seperti => LABINAK ( 2025 ) + QODRAT 2 ( 2025 ) + JANUR IRENG ( 2025 ) + PENJAGAL IBLIS ( 2025 ) + JALAN PULANG ( 2025 ) + PEMBANTAIAN DUKUN SANTET ( 2025 ) + DENDAM MALAM KELAM ( 2025 ) + PENGEPUNGAN DI BUKIT DURI + GUNDIK ( 2025 ) + MUSLIHAT ( 2025 ) & PAMALI - TUMBAL 🤘🥁😎,aplikasi for watching film kereen baik dunia but why juni film horror tayang kualitas nya jelek please tambah film horror indonesia baru labinak qodrat janur ireng jagal iblis jalan pulang bantai dukun santet dendam malam kelam kepung bukit duri gundik muslihat pamali tumbal
rini mulyasari,4,kok film2 yg didonlot tdk ada bahasa indonesianya lgi... tpi kl nonton langsung ada.. ini gmn ya?? abiz upgrade loh,film didonlot tdk bahasa indonesia lgi nonton langsung gmn abiz upgrade loh
Chisikuin Ita,1,"baru tau kalau netflix filmnya ga lengkap.. tujuan awal daftar paket netflix biar bisa n9nton yg gbsa di tonton secara gratis.. eh malah yg ada di gratis ga muncul di netflix. Jelek, ga rekomended, film dikit, saran yg mau berlanggan mending gausah, nyesel krn gabakal nemu film yg lu mau",tau netflix film lengkap tuju daftar paket netflix biar nnton gbsa tonton gratis gratis muncul netflix jelek rekomended film dikit saran langgan mending gausah nyesel krn gabakal nemu film
Juan Damongilala,1,subtitle nya kok ngk ada sihh,subtitle nya ngk sihh
Budi Astuti,4,Aw234s awal 2 w22w we see Aw WW2 www3 we can w a w2 we see,aws see can see
charina 21,1,"netflix nya kok setelah di download subtitle bahasa indonesia nya gk muncul ya, harus ntn streaming, pdhal sebelumnya bisa",netflix nya download subtitle bahasa indonesia nya muncul ntn streaming pdhal
Fahri,1,gjls bet stuck loading video trus padahal jaringan lancar,gjls bet stuck loading video trus jaring lancar
Umar Habibi,3,"saya punya saran,untuk server Mesir atau dimanapun tolong di masukkan film Indonesia nya dong,saya pengen nonton ""norma"" tapi di Netflix Mesir gaada plis masukin 🙏",saran server mesir mana tolong masuk film indonesia nya ken nonton norma netflix mesir gaada plis masukin
Kiran Manubulu,4,Sangat baik,
Hanz Branz,1,apk sampah masak mau login atau daftar aja harus bayar apaan ameh banget. kocak,apk sampah masak login daftar bayar ameh banget kocak
Abdul Rifki,4,"saran, untuk film terbaru atau episode lebih baik di tampilkan paling atas, jngan di campur yng udah lama tapi ganti cover iklan",saran film baru episode tampil jngan campur yng udah ganti cover iklan
azkayRatu,1,"Call center buruk,tdk ramah. saat ada kendala no solution pokoknya. Hati2 ges kalau berlangganan, 1 atau 2 hari kmudian dibatalkan pihak netflix alasan ada aktivitas mencurigakan, murka nya tiap diminta bukti aktivitas yg dimksd itu spt apa mereka gamau ngasih. Jujur bingung aktivitas apa pdhl gw cuman nonton doang. berlangganan jg sesuai prosedur trs dmn letak aktivitas itu? alhasil dana yg udah masuk gbs kembali ges alias hangus. Pdhl aplikasinya bagus bgt tp sgt tdk profesional. sangat kecewa",call center buruk tdk ramah kendala solution pokok hati ges langgan kmudian batal netflix alas aktivitas curiga murka nya bukti aktivitas dimksd spt gamau ngasih jujur bingung aktivitas pdhl cuman nonton doang langgan sesuai prosedur dmn letak aktivitas alhasil dana udah masuk gbs ges alias hangus pdhl aplikasi bagus banget sgt tdk profesional kecewa
TIK TOK APKING,1,uuuuuuuuuu nefflix goblokkkkkk aduuuuu login susahhh daftarr susaaaaahhhh Netflix sakit jiwa mintak jantunggg plissssss banget hapus apk ini DARI GOGEL Playlstoreeee buang buang waktu GK ada guna ni apk 🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬,nefflix goblok adu login susah daftarr susah netflix sakit jiwa mintak jantung plis banget hapus apk gogel playlstore buang buang apk
Mian Mian,5,PESULAP MERAH OFFICIAL GTA SAN ANDREAS 🪄🎩,sulap merah official gta san andreas
Kholipah Ratnasari,1,daftarnya ribet udah bayar langganan udh download tp buffering trus gak ada yg bisa di play gmna sih,daftar ribet udah bayar langgan download buffering trus play gmna sih
Baby Panda,2,ini aneh kenapa selalu loading cara mengatasinya itu bagaimana ya??? trims,aneh loading atas trims
Handri Super,1,"aplikasi saya gak bisa buka gua udah bayar, asemmm kau ya, nanti kalau udah bisa buka saya perbaiki ratingnya, kalau gak bisa buka saya tetap kasih bintang 1, awas hati² apk penipuan.",aplikasi buka gua udah bayar asem kau udah buka baik ratingnya buka kasih bintang awas hati apk tipu
Rien Nie.,4,Apakah saat ini Netflix ada masalah...?,netflix
anak haram,1,gw mending nonton steel ball run di website bajakan daripada di Netflix,mending nonton steel ball run website baja netflix
Sri Yana,5,film nya bagus banget,film nya bagus banget
Dedy prasetyo,1,"daftar paket premium 1 bulan, eh taunya bisa nonton cuma 10 hari doang. mana bayarnya 65rb, padahal tagihan di tanggal 21 oktober lah ini malah akun di tangguhkan.",daftar paket premium tau nonton doang bayar tagih tanggal oktober akun tangguh
Ancha Chaidir,5,mantapppp,mantap
Ilah ilah. nurlailah,5,BAGUSS BGT gatau poko nya bintang 5,bagus banget gatau poko nya bintang
Ghina Azhar,3,kenapa setelah di update beberapa subtitle di film/ drama yang di download tidak muncul ya? biasanya tidak pernah terjadi subtitle hilang-hilangan. saya jadi bingung harus download ulang atau re-install aplikasi. tolong bantuannya di perbaiki.,update subtitle film drama download muncul subtitle hilang hilang bingung download ulang install aplikasi tolong bantu baik
Vega Grace,2,"mohon pihak netflix untuk membaca ulasan kami para costumer, disini saya juga ingin menyampaikan bahwa sudah hampir sekitar 1 bulan belakangan ini pada saat ingin nonton tidak bisa di putar, sekali bisa diputar gambarnya malah pecah seperti nonton dengan resolusi jaman bahula 360. padahal jaringan di rumah saya tidak ada masalah krna di apk lain saya nonton jernih dan lancar. tolong pihak netflix memperhatikan kepuasan para costumernya.",mohon netflix baca ulas costumer nonton putar putar gambar pecah nonton resolusi jaman bahula jaring rumah krna apk nonton jernih lancar tolong netflix perhati puas costumernya
Tuan Muda,1,"aplikasi paling parah ini padahal koneksi aman, muter-muter doang pas di play, nyesel premium, pantesan rating anjlok",aplikasi parah koneksi aman muter muter doang pas play nyesel premium pantesan rating anjlok
Agus Salim,1,susah sekali untuk masuk,susah masuk
Aisya Hanindya,5,bagus,bagus
StarGaming,1,apk kaga jelas,apk kaga
Miftahul Jannah Mamonto,4,"Hallo Netflix, sya akan ksh 5 bintang setelah bug slesai. saya menunggu lama sampai film bsa di putar tapi tidak terputar. ini tdk pernah terjadi sebelumnya",hallo netflix sya ksh bintang bug slesai tunggu film bsa putar putar tdk
Febryanti Sianipar,1,gajelasssss ga bisa dibuka😬,gajelas buka
Adit Prasetyo,2,"bang ini kenapa tiba""akunya keluar padahal batas waktunya belum abis bulanannya kecewa banget ga bisa masuk akun nya padahal belum waktunya abis gimana ini tolong perbaiki",bang aku batas abis bulan kecewa banget masuk akun nya abis gimana tolong baik
Azhimi Surya,1,ini kenapa selalu memuat setiap film nya di putar padahal kouta banyak heran deh,muat film nya putar kouta heran deh
Rafael Miru,1,saat menonton selalu terganggu dengan wifi padahal wifi jaringannya bagus,tonton ganggu wifi wifi jaring bagus
Agusnia Rachmi,2,"gaa bisa masuk akun, udah ngulang ngulang tetap ga bisa",gaa masuk akun udah ngulang ngulang
Gabriel Arifi,1,bosok,bosok
Zihan Wari Nurul Fadilah (jiaa),1,apa-apaan ini sih! pas mau buat akun nya susah banget dari tadi! tolong ya kalo bisa di permukaan pas masuk apk nya! ya kalo gini gimana mau kasih Reting gede kalo masuk apknya susah banget kaya gini! INGETTT!! PERBAIKII! WOYYY😡🤬,sih pas akun nya susah banget tolong kalo muka pas masuk apk nya kalo gin gimana kasih reting gede kalo masuk apknya susah banget kaya gin inget perbaikii woy
454 Fabian,1,gajelas terjadi kesalahan saat mutar video mulu mending HBO Max,gajelas salah mutar video mulu mending hbo max
DIEP A,1,main ngundur undurin jadwal rilis dadakan lu kira kita kita ini bisa beli paket Netflix lagi apa dipikir lah t0l t0l kita beli tanggal brp mau nntn film apa malah tiba tiba diundur k0cak kocak fakyu,main ngundur undurin jadwal rilis dada beli paket netflix pikir beli tanggal brp nntn film undur kcak kocak fakyu
Andri Firmansyah,1,jaringannya bagus buat buka yang Laen pas buka pengen nonton ga bisa bisa muter doang,jaring bagus buka laen pas buka ken nonton muter doang
Octavia 26,1,"mau daftar akun aja susah, kalau ada masalah di apknya tolong dikasih tau lah, bikin kesel aja",daftar akun susah apknya tolong kasih tau kesel
uceN ji,2,ini kenapa si kalo jeda nonton. trus mau D lanjutin memuat mulu anj.. keluar masuk aplikasi jadi sama aja,kalo jeda nonton trus lanjutin muat mulu anj masuk aplikasi
XNAS Abdul Rahim Huntoyungo,1,aplikasi tidak berguna.,aplikasi guna
Sherina Jltn,3,aplikasi berbayar tp film tidak lengkap,aplikasi bayar film lengkap
Ardin Buduha,1,baru kali in ad aplikasi yg minta kata sandi email,kali aplikasi sandi email
Amel Imel,5,Sang at membantu,sang bantu
Awing Suwardi,5,ok,oke
Yanuar Setiawan,1,Daftarnya Ribettttt,daftar ribet
Dony Kurniawan R,1,saldo kluar 186.000 padahal instal aja nggak apalah,saldo kluar instal apa
Vishaka Orlenta,1,"SIGN IN ATAU BIKIN AKUN AJA GK BISA YA ALLAH, NAUZUBILLAH AJA NIH APK, SOMETHING WENT WRONG TERUS BABI, BIKIN APK AJA KAGAK GUNA",sign akun allah nauzubillah apk something went wrong babi apk kagak
Rizky Haryansyah,1,terlalu banyak masalah,
Doa Restu,1,maaf ini bikin akun ajah ko bayarr,maaf akun ajah bayarr
Aliph Man,1,"aplikasi apaan ini,masuk di indo tp gak bisa pake kartu indo,mana gak update sama kyak netflix luar",aplikasi masuk indo pake kartu indo update kyak netflix
zasa emeralda,3,ga jelas banget. udah 7 bln ga langganan netflix tiba2 ad transaksi langganan otomatis pdhl semua udh di nonaktifkan. mana paketnya beda lagi lebih mahal yg tadinya ga pernah langanan paket itu. terpaksa donlot lagi dan hapus langanan. nyusahin,banget udah bln langgan netflix transaksi langgan otomatis pdhl nonaktif paket beda mahal langanan paket paksa donlot hapus langanan nyusahin
Yosi Nanda,1,apk burikkk gbs login nyett,apk burik gbs login nyett
Zahra Kisaran,1,se enak hati ngambil dana orang,enak hati ngambil dana orang
fuat fadillah,1,loading2 terus ajg,loading ajg
Pakar Tugas,1,karyawan Netflix gak ada yang becus apa gimana. login dipersulit seperti ini apa mau mematikan bisnis sendiri? tiru batasan jumlah device dan sistem login OTP Disney kalau mau winwin. heran. digaji mahal malah bodoh ini orang2 Netflix. najis hasil kerja kalian ini,karyawan netflix becus gimana login sulit mati bisnis tiru batas device sistem login otp disney winwin heran gaji mahal bodoh orang netflix najis hasil kerja
Difa,1,"jelek kali koneksi kalau nonton dengan wifinya sekarang, padahal nonton yt dengan wifi aman aja di 1080p",jelek kali koneksi nonton wifinya nonton wifi aman
Rahmat Mat,5,baguss,bagus
Majalah stannia,5,Simple dan kerem,simple rem
mahfuzh Racing,5,hari ini aku ultah waktu,ultah
Soesiati Tiyar,5,Mantap,mantap
ZIA ULHAQ,5,ok,oke
Ristian Cahyani,1,"daftarnya ribet, suka error mulu, suruh bayar padahal cuma gitu doang 🙄🙄",daftar ribet suka error mulu suruh bayar gitu doang
Syafdio Afdal,1,"APLIKASI APAAN INI , MASAK YA FILM NYA BELUM PADA UPDATE2 , DULUAN LAYARKACA UPDATE DSRI PADA NETFLIX -_- BAD APL",aplikasi masak film nya update duluan layarkaca update dsri netflix bad apl
Ayu Sukma Candra Dinata,5,RIBETTT!!!!,ribet
Rekyy Subagia,1,"terjadi masalah saat memutar video.coba lagi. (5.10) semua film kayak gitu, apaan anj?",putar video coba film kayak gitu anj
Ronik Ronik,1,"mentang-mentang udah banyak user yang langganan, advice users nya ga di dengerin. buat CS yang lihat ini, sampaiin ke atasan, jangan gitu. jangan lalai. dulu sebelum besar juga banyak user yang bantuin lo jalan, bantuin lo naik. ibarat gini, kalian udah bisa lari sendiri, malah lupa sama yang ngajarin jalan kaki.",mentang mentang udah user langgan advice users nya dengerin lihat sampaiin atas gitu lalai user bantuin jalan bantuin gin udah lari lupa ngajarin jalan kaki
Kasriati Ariefin,1,"Masa Ia Sy sudah Pernah Daftar di Netflix Pake Email Ku,,Tapi Pas Sy Mau Login malah Katanya tidak Menemukan Akun dengan Email Sy Email Tidak Valid,,padah Sejak dlu Pake Email Itu Masuk Ke Netflix,,di suruh buat Akun Baru,,Trus Gimana Kalo Kita Udah Langganan Trus Keluar,,Mau Login Lagi Tapi Susah ??? Sia² song Duit Kita..,Apa Lg Banyak Ulasan Yg Merasa Dirugikan Dgn Kasus Yg sama Gk Bisa Login Padahal Udah Beli Langganan..,Kan Ini Seperti Aplikasi Penipu",daftar netflix pake email pas login temu akun email email valid padah dlu pake email masuk netflix suruh akun trus gimana kalo udah langgan trus login susah sia song duit ulas rugi dgn login udah beli langgan aplikasi tipu
Indra Firmansyah,5,"mohon isi suara Indonesia, soalnya film banyak gada suara Indonesia .🤦",mohon isi suara indonesia film gada suara indonesia
Maria Howay,5,suka,suka
Dimas aditya Prayoga,3,"Netflix mohon video yang udah lama atau pernah tayang di tv hapus,,masukan video2 yang baru² tayang biar makin rame minat nya",netflix mohon video udah tayang hapus masuk video tayang biar rame minat nya
Eoa Gold Karawang Jawa Barat,5,bagus tapi aku beluk login,bagus beluk login
F izmi Channel,1,"MANGKIN LAMA PENAGIHANYA MAKIN DEKAT TANGGAL NYA DARI TANGGAL 19 KE 8 KE 4 . Kll. DAN SERING KELUAR KELUAR SENDIRI. . LICIK NYA KELEN baru bayar tanggal 23 tanggal 10 di suru bayar lagi kan LICIK X OTAK KELEN, FILIM ITU ITU AJA G ADA YG BARU , DASAR BINATANG",mangkin penagihanya tanggal nya tanggal kll licik nya kelen bayar tanggal tanggal suru bayar licik otak kelen filim dasar binatang
Pasutri,5,siapa saja. dapat. melihat nama,nama
Nazila chan,5,tapi sayang banget gak bisa log in,sayang banget log
Kujang Galuh,1,"aplikasi ribet,imeil benar sandi benar tetap salah,kalau buat aplikasi yg bagus jangan Abal Abal atau asal saja,👎👎👎",aplikasi ribet imeil sandi salah aplikasi bagus abal abal
Muhammad Nabil,1,gk jelas tiba² kgk bisa masuk,kgk masuk
Mas Surono,5,makasih terbaik,makasih baik
samsul Bachri,1,mau login pun susah,login susah
Koko Denata,1,Cara daftar ribettttttt,daftar ribet
Sultan Azziz,1,bug tidak bisa play streaming di handphone hanya keluar animasi loading padahal jaringan lancar,bug play streaming handphone animasi loading jaring lancar
Hilmy Yusuf Nauval,1,buffer terus padahal pake youtube 8k lancar,buffer pake youtube lancar
Ano Pano1195,1,"kepada yang terhormat Netflix, tolong lah Netflix di update Flim"" barunya, dan subtitle juga semua bahasa Indonesia",hormat netflix tolong netflix update flim baru subtitle bahasa indonesia
Rimal Reska,3,bagus.. tapi kurang lengkap menurut saya. selain film terbaru kurang lengkap. Mau nonton film Bollywood pun terbatas. tolong di buatinlah film Bollywood lengkap sesuai tahun biar bisa milih sesuai selera.,bagus lengkap film baru lengkap nonton film bollywood batas tolong buatinlah film bollywood lengkap sesuai biar milih sesuai selera
Saupi Nanasopia,1,tlng tingkatkan lagi pdhl sandi google nya benar tapi di suruh buat lagi ee gmn jak mau Netflix nya ee,tlng tingkat pdhl sandi google nya suruh gmn jak netflix nya
Lanang Jinan B Adamson,5,saya sangat suka namun saya ingin jika anda menambahkan movie demon slayer terbaru secepatnya,suka movie demon slayer baru cepat
Panggil Royy saja,1,cara daftarnya harus bayar yaa ribet banget dah,daftar bayar yaa ribet banget dah
Ayam Goreng,1,kikir banget ajg nih game,kikir banget ajg game
Linda Soft,1,PERINGATAN : jangan terjebak download aplikasi ini. Anda akan diminta daftar dan membayar tanpa bisa mengecek film yang ingin anda tonton terlebih dahulu. Bagaimana jika sudah saya bayar biaya langganannya tapi film lama yang ingin saya tonton ternyata tidak ada?,ingat jebak download aplikasi daftar bayar ecek film tonton bayar biaya langgan film tonton
liora,5,aplikasi ini sangat bagus film film nya lengkap dan seru saya kasih bintang 5,aplikasi bagus film film nya lengkap seru kasih bintang
Banyu Saka,5,aplikasi ini sangat bagus,aplikasi bagus
athifa diantoro,1,aplikasi ini suruh bayar dan buat akun mau nonton film gratis di teragogo aja lah,aplikasi suruh bayar akun nonton film gratis agogo
ragna crismon,5,good,good
Raldi Ramdani,5,download cuman mau nonton jojo sbr hehe,download cuman nonton jojo sbr hehe
Deri Riy,1,Tidak bisa memutar video,putar video
F K,1,"Rattingnya skrg 3,6... brarti netflix tdk bagus lg, saya jg sdh tdk berlangganan lagi sbb rugi, film yang baru ditambahkan saya kira film² baru, ternyata film² yang sudah basi tidak layak ditonton karna kwalitasnya juga sudah pada buram, pokoknya flm²nya NETFLIX 90% film jadul, rugi berlangganan!!! Apa lg yg versi baru skrg makin RUSUH GAME CELLULAR dimasukkan ke netflix, bikin hp berat!!! Sumpah nyesel memperpanjang langganan! Bulan dpn saya tdk akan berlangganan lg, UNINSTAL lbh baik!!! 😡😡😡",rattingnya skrg brarti netflix tdk bagus sdh tdk langgan sbb rugi film film film basi layak tonton karna kwalitasnya buram pokok flm nya netflix film jadul rugi langgan skrg rusuh game cellular masuk netflix berat sumpah nyesel panjang langgan dpn tdk langgan uninstal lbh
Smj Ysri,3,kenapa sih kl selalu metode pembayaran selalu di ubah kl telat langganan 1 minggu,sih metode bayar ubah telat langgan minggu
21_28Daniel,1,aplikasi suka menarik tagihan sesuka hati,aplikasi suka tarik tagih suka hati
Rangga Fadilla,1,ang gilo,ang gilo
Jessicasihite,1,saya baru download dan sudah bayar tpi gak bisa mutar video nya,download bayar mutar video nya
Arfa Putra,1,"apk ini sangat jelek,saya sudah benar memasuki sandi TPI tetep aja gabisa,bikin kesel asli,jelek👎👎",apk jelek pasuk sandi tetep gabisa kesel asli jelek
metta bedunk,1,ini knpa netflix saya gak bisa kebuka ya,knpa netflix buka
zazkia rahmawati,3,"Netflix bisa ga ,ga berlangganan?🥰gada uang cuy hehee..",netflix langgan gada uang cuy hehee
Deddy Djumhana,5,terima kasih,terima kasih
Melati Ferdarani,1,"saya berlangganan netfix tapi kenapa ga bisa dibuka. tulisannya, ""perangkatmu bukan bagian dari rumah dengan akun netflix untuk akun ini"". coba deh tolong dibenerin lagi ini gimana caranya.",langgan netfix buka tulis perangkat rumah akun netflix akun coba deh tolong dibenerin gimana
Siti Rohmah,5,saya tidak bisa log out gimana ya caranya,log out gimana
Rifki Ihsan Maulana,4,tolong paket 1080p di turunkan harganya,tolong paket turun harga
DARCO GAMING,1,saya sudah bayar 65.000 saldo saya kepotong tapi tdk terdaftar,bayar saldo potong tdk daftar
Tino Jam,1,udah Bayar ga bisa masuk tolol,udah bayar masuk tolol
Zenal Traveler,4,cukup,
Uttun Apridan,5,bagus,bagus
Vikram Sanusi,1,mau masuk saja susah,masuk susah
M R,4,"Overall oke lah baik dari kemudahan penggunaan, tampilannya, maupun fitur-fitur menontonnya. Hanya saja untuk variasi filmnya kurang lengkap, cenderung kurang update untuk film-film bagus, dan untuk update mingguannya juga sedikit.",overall oke mudah guna tampil fitur fitur tonton variasi film lengkap cenderung update film film bagus update minggu
Asep Kusno,5,sangat membantu,bantu
Please Call Me Yesa,3,Kenapa saya tidak bisa menonton Netflix menggunakan WIFi padah sebelumnya saya bisa,tonton netflix wifi padah
Ahmad Jaelani,1,aplikasi rusak nge bug mulu masa tiap mau nonton suka black screen kalo ga black screen video nya nge stuck tapi suara nya tetep ada,aplikasi rusak nge bug mulu nonton suka black screen kalo black screen video nya nge stuck suara nya tetep
Syafa Azzahra,5,y bgs klo bisa bnykin anime ny.,bgs bnykin anime nya
Grand Master,1,"Kekurangan : 1.Sinopsis film terlalu sederhana, tidak menarik. 2. Terlalu sering menampilkan film rating imdb rendah di beranda. Film rating tinggi justru di pendam. 3.opsi langganan hanya 1 bualanan, tidak ada yg sekalian 3 bulan, 6 bulan, 12 bulan, kalau di buat lebih murah dikit lebih bagus lagi 4. Saran, buatkan fitur untuk membuat rating usia sendiri, misal : ketelanjangan = 21+, kekerasan = 21+, bahasa vulgar = 18+, bahasa kasar = 18+ . Dll downloader bermasalah.",kurang sinopsis film sederhana tarik tampil film rating imdb rendah beranda film rating pendam opsi langgan bualanan murah dikit bagus saran buat fitur rating usia telanjang keras bahasa vulgar bahasa kasar dll downloader masalah
Samuel Aritonang,1,gangguan,ganggu
Edward Jonathan,1,"SAYA TELAH DAFTAR PEMBAYARAN MENGGUNAKAN SHOPEEPAY SALDO SHOPEEPAY SAYA 54.000 SUDAH TERPOTONG TETAPI AKUN TETAP TIDAK BISA DIGUNAKAN TULISAN NYA LANJUTKAN PENDAFTARAN AKUN PIHAK CS NETFLIX SUDAH SAYA HUBUNGI TETAPI JAWABAN NYA TIDAK MENYELESAIKAN MASALAH KATANYA MASALAH OTORISASI DLL,SEDANGKAN PIHAK CS SHOPEE MENGINFOKAN BAHWA SALDO TERSEBUT SUDAH SUKSES BERHASIL TERKIRIM KE PIHAK NETFLIX.NETFLIX MALAH MENYURUH SAYA MEMBATALKAN PEMBAYARAN DI SHOPEEPAY SEDANGKAN PEMBAYARAN ITU SUDAH SUKSES.",daftar bayar shopeepay saldo shopeepay potong akun tulis nya lanjut daftar akun netflix hubung nya selesai otorisasi dll shopee info saldo sukses hasil kirim netflix netflix suruh batal bayar shopeepay bayar sukses
Sahrul,1,hadeh Langganan mahal mahal gambar video malah SD👎👎👎,hadeh langgan mahal mahal gambar video
cahaya. puri,5,mantap ka bagus ya,mantap bagus
Syipaling,4,"bagus sih, tapi sekedar saran aja kalo rilis film bioskop ke netflix cepetan ya... soalnya kasihan yang udah terlanjur beli vip malah film yang ditunggu-tunggu belum masuk ke netflix",bagus sih dar saran kalo rilis film bioskop netflix cepetan kasihan udah lanjur beli vip film tunggu tunggu masuk netflix
umiyana savitri,5,Aku suka Netflix karena aku menonton yang hangat film,suka netflix tonton hangat film
Megi Sandri,1,aplikasi nggak jelas udah daftar bayar nggak bisa masuk bayar lagi otomatis,aplikasi udah daftar bayar masuk bayar otomatis
Suixa Cha,1,loading teros,loading ros
Prima Rachman,5,ok,oke
Adly Putra,1,eror muluu gajelass akhir2 ini klo bukan krena ada film yg lgi on going ogah dah gmna ni perbaikan nya min eror 5.10,eror muluu gajelass krena film lgi going ogah dah gmna baik nya min eror
Alle Ira,3,nge lag mlu,nge lag mlu
